annee_universitaire,libelle_diplome_1,libelle_diplome_2,total_inscrits
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ECOLOGIE","",252
2012-13,SCIENCES ET TECHNOLOGIES : INGENIERIE MECANIQUE,"",251
2012-13,"INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE LILLE, SPECIALITE GENIE INDUSTRIEL ET ENTREPRENEURIAL","",250
2012-13,"LETTRES, LANGUES, SCIENCES HUMAINES : LANGUES, LITTERATURES ET CIVILISATIONS REGIONALES",LANGUES POLYNESIENNES,249
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MECANIQUE ET INGENIERIES","",249
2012-13,SCIENCES HUMAINES ET SOCIALES : ETUDES INTERNATIONALES,ETUDES LATINO-AMERIOCAINES,249
2012-13,"ARTS, LETTRES, LANGUES : LETTRES ET SCIENCES HUMAINES","",248
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE GESTION - BAC A BAC+1,"",247
2012-13,DIPLOMES D'UNIVERSITE EN PLURI SCIENCES - BAC,"",246
2012-13,DIPLOMES D'UNIVERSITE EN ARTS - BAC A BAC+2,"",246
2012-13,ADDICTOLOGIE CLINIQUE,"",245
2012-13,RHUMATOLOGIE,"",245
2012-13,"DROIT, ECONOMIE, GESTION : INFORMATIQUE DES ORGANISATIONS","",245
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURES ETRANGERES",HEBREU,245
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE MOLECULAIRE ET CELLULAIRE","",245
2012-13,"INGENIEUR DIPLOME DE L'ECOLE SUPERIEURE D'INGENIEURS DE RENNES  DE L'UNIVERSITE RENNES 1, SPECIALITE INFORMATIQUE ET TELECOMMUNICATIONS","",245
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : ECOLOGIE, BIODIVERSITE","BIODIVERSITE, EVOLUTION",244
2012-13,ARTS : ARTS PLASTIQUES ET ART CONTEMPORAIN,ART CONTEMPORAIN ET NOUVEAUX MEDIAS,243
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",PORTUGAIS,242
2012-13,INFORMATION-COMMUNICATION,"",242
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : VIE ET SANTE",PHYSIOPATHOLOGIE CELLULAIRE ET MOLECULAIRE118,240
2012-13,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET SOCIETE,"",239
2012-13,PHARMACIE HOSPITALIERE ET DES COLLECTIVITES,"",239
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT ET ADMINISTRATION DES ENTREPRISES",MANAGEMENT GENERAL,239
2012-13,"INGENIEUR DIPLOME DE L'ENS D'ELECTROTECHNIQUE, D'ELECTRONIQUE, D'INFORMATIQUE, D'HYDRAULIQUE ET DES TELECOMMUNICATIONS DE L'INP DE TOULOUSE, SPECIALITE MECANIQUE DES FLUIDES","",239
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE CHIMIE DE CLERMONT-FERRAND,"",239
2012-13,"ARTS, LETTRES, LANGUES : MUSIQUE ET ARTS DU SPECTACLE","",238
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE","",238
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON, SPECIALITE TELECOMMUNICATIONS","",238
2012-13,DIPLOMES D'UNIVERSITE EN LANGUES ET LITTERATURES ETRANGERES - BAC A BAC+6 ET PLUS,"",238
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LETTRES, SCIENCES HUMAINES ET SOCIALES","",238
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : METIERS DE L'ENSEIGNEMENT SCOLAIRE, DE LA FORMATION ET DE LA CULTURE","",236
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE, GESTION",ECONOMIE DES INSTITUTIONS TERRITORIALES ET FINANCIERES,236
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES POUR L'INGENIEUR",INGENIERIE DU BATIMENT,236
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE DE L'UNIVERSITE DE TOURS, SPECIALITE GENIE DE L'AMENAGEMENT","",235
2012-13,"ECONOMIE, GESTION : ADMINISTRATION DES ENTREPRISES",MANAGEMENT GENERAL,235
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE CHIMIE DE LILLE,"",234
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE DE LA SANTE","",234
2012-13,"ARTS, LETTRES, LANGUES : ETUDES HISPANIQUES",ESPAGNOL,211
2012-13,DIPLOMES INTERNATIONAUX EN PLURI LETTRES - LANGUES - SC HUMAINES - BAC A BAC+1,"",234
2012-13,DIPLOMES D'UNIVERSITE EN PHARMACIE - BAC+4 A BAC+5,"",234
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE L'UNIVERSITE DE TOURS, SPECIALITE INFORMATIQUE","",233
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON, SPECIALITE GENIE ENERGETIQUE ET ENVIRONNEMENT","",233
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES JURIDIQUES - BAC+4,"",233
2012-13,"SCIENCES HUMAINES ET SOCIALES : HISTOIRE, HISTOIRE DE L'ART","",233
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : GENIE ELECTRIQUE, GENIE DES PROCEDES","",232
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",ITALIEN,232
2012-13,MEDECINE PHYSIQUE DE READAPTATION,"",231
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE, SPECIALITE GENIE CIVIL","",230
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES, CIVILISATIONS ETRANGERES ET REGIONALES",ARABE,230
2012-13,"ASSURANCE, BANQUE, FINANCE",CHARGE DE CLIENTELE PARTICULIERS,230
2012-13,"ENDOCRINOLOGIE, DIABETE, MALADIES METABOLIQUES","",229
2012-13,"LANGUES, CULTURES ET SOCIETE DU MONDE : LANGUES, LITTERATURES ET CIVILISATIONS D'EURASIE","",229
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",COREEN,229
2012-13,"SCIENCES HUMAINES ET SOCIALES : EDUCATION, TRAVAIL ET FORMATION","EXPERTISE, INGENIERIE, DIRECTION D'ORGANISATIONS",228
2012-13,"ARTS, LETTRES, LANGUES-SCIENCES HUMAINES ET SOCIALES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ANGLAIS,228
2012-13,"INGENIEUR DIPLOME DE L'ENS D'ELECTROTECHNIQUE, D'ELECTRONIQUE, D'INFORMATIQUE, D'HYDRAULIQUE ET DES TELECOMMUNICATIONS DE L'INP DE TOULOUSE, SPECIALITE ELECTRONIQUE","",226
2012-13,"SCIENCES HUMAINES ET SOCIALES : SCIENCES ET METIERS DE L'ENSEIGNEMENT, DE L'EDUCATION ET DE LA FORMATION",TRAVAIL EDUCATIF ET SOCIAL,225
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE STRASBOURG, SPECIALITE GENIE CIVIL","",225
2012-13,"LANGUES, CULTURES ET SOCIETES DU MONDE : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",RUSSE,225
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES ET TECHNOLOGIES INDUSTRIELLES - BAC A BAC+2,"",224
2012-13,CHIRURGIE VISCERALE ET DIGESTIVE,"",224
2012-13,DIPLOMES D'UNIVERSITE EN FRANCAIS LANGUE ETRANGERE - BAC A BAC+2,"",223
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SANTE PUBLIQUE ET ENVIRONNEMENT","",222
2012-13,"SCIENCES, TECHNOLOGIES, SANTE (PORTAIL MATHEMATIQUES-INFORMATIQUE-PHYSIQUE) :","",221
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE, CHIMIE, SC DE LA TERRE ET DE L'UNIVERS (ANNEE COMMUNE)","",221
2012-13,DIPLOMES D'UNIVERSITE EN PSYCHOLOGIE - BAC+3 A BAC+4,"",221
2012-13,SCIENCES HUMAINES ET SOCIALES : STAPS,"",221
2012-13,SCIENCES ET TECHNOLOGIES : PHYSIQUE ET APPLICATIONS,"",220
2012-13,"SCIENCES DES ORGANISATIONS (DROIT, ECONOMIE, GESTION, SCIENCES SOCIALES) : ECONOMIE DE LA SANTE ET DES POLITIQUES SOCIALES","",220
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DES ENTREPRISES","",219
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ET ECHANGES INTERNATIONAUX",RELATIONS SOCIALES ET NEGOCIATION,219
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES ET INFORMATIQUE APPLIQUEES AUX SCIENCES HUMAINES ET SOCIALES","",219
2012-13,"DROIT, ECONOMIE, GESTION : COMPTABILITE-CONTROLE","",219
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE L'UNIVERSITE COTE D'AZUR, SPECIALITE INFORMATIQUE","",219
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE RENNES, SPECIALITE GENIE CIVIL ET URBAIN","",219
2012-13,LETTRES ET SCIENCES HUMAINES : GEOGRAPHIE,"",218
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT PUBLIC","",218
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET GESTION - LANGUES ET CIVILISATIONS ANGLAISES ET AMERICAINES","",218
2012-13,"PRE-ORIENTATION MODELISATION, INFORMATIQUE ET COMMUNICATION","",218
2012-13,"INGENIEUR DIPLOME DE L'UNIVERSITE DU HAVRE, SPECIALITE MECANIQUE ET PRODUCTION","",218
2012-13,"INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'INGENIEURS DE CAEN, SPECIALITE INFORMATIQUE","",218
2012-13,DIPLOMES D'UNIVERSITE EN ADMINISTRATION ECONOMIQUE ET SOCIALE (A.E.S.) - BAC A BAC+3,"",217
2012-13,"ARTS, LETTRES, LANGUES : ARTS DU SPECTACLE:DANSE, THEATRE","",216
2012-13,MASTERES SPECIALISES EN FORMATION GENERALE AUX METIERS DE D'INGENIEUR - BAC+5 A BAC+6 ET PLUS,"",216
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE DE L'UNIVERSITE DE TOURS, SPECIALITE MECANIQUE ET CONCEPTION DES SYSTEMES","",215
2012-13,CECSMO,"",215
2012-13,SCIENCES HUMAINES ET SOCIALES : ECONOMIE ET SOCIETE,"",215
2012-13,"SCIENCES ET TECHNOLOGIES : METIERS DE L'ENSEIGNEMENT, DE L'EDUCATION ET DE LA FORMATION",ENSEIGNEMENTS ET FORMATIONS EN SCIENCES,215
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURES ETRANGERES ET REGIONALES",ESPAGNOL,215
2012-13,GERIATRIE,"",214
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES",GESTION ET COMMERCE INTERNATIONAL,214
2012-13,EVALUATION ET TRAITEMENT DE LA DOULEUR,"",214
2012-13,"INGENIEUR DIPLOME DE L'ECOLE CENTRALE DE LILLE, SPECIALITE GENIE INFORMATIQUE ET INDUSTRIEL","",213
2012-13,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,METIERS DE L'EDUCATION ET DE LA SOCIALISATION DES JEUNES ENFANTS,213
2012-13,LETTRES ET LANGUES : LETTRES,"",213
2012-13,MEDECINE ET BIOLOGIE DU SPORT,"",212
2012-13,"INGENIEUR DIPLOME DU CENTRE UNIVERSITAIRE DES SCIENCES ET TECHNIQUES DE L'UNIVERSITE CLERMONT-FERRAND 2, SPECIALITE GENIE CIVIL","",212
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SPORT, SANTE, SOCIETE","",211
2012-13,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE ET CRITIQUES CONTEMPORAINES DE LA CULTURE,"",211
2012-13,"INGENIEUR DIPLOME DE L'ENS D'INGENIEURS EN INFORMATIQUE, AUTOMATIQUE, MECANIQUE, ENERGETIQUE ET ELECTRONIQUE DE L'UNIVERSITE DE VALENCIENNES, SPECIALITE GENIE INDUSTRIEL","",211
2012-13,"LETTRES, LANGUES, SCIENCES HUMAINES : LANGUES ETRANGERES APPLIQUEES","",211
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DU LANGAGE - LINGUISTIQUE - BAC A BAC+1,"",211
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE ECOLOGIE","",210
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES ECONOMIQUES - BAC+4 A BAC+5,"",210
2012-13,DIPLOMES INTERNATIONAUX EN HISTOIRE - BAC+3 A BAC+4,"",210
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ET GESTION DES ENTREPRISES","",210
2012-13,"INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'INGENIEURS DE POITIERS DE L'UNIVERSITE DE POITIERS, SPECIALITE ENERGIE","",209
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE L'UNIVERS, ENVIRONNEMENT, ECOLOGIE","",209
2012-13,DIPLOME D'UNIVERSITE EN SCIENCES DE LA VIE - BAC A BAC+1,"",209
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET CIVILISATIONS",ETUDES DES MONDES ANGLOPHONES,209
2012-13,SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE - ETHNOLOGIE,"",209
2012-13,SCIENCES HUMAINES ET SOCIALES : EDUCATION ET FORMATION,"CONSEIL, EDUCATION, MANAGEMENT, FORMATION ET RECHERCHE",208
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DES AFFAIRES",DROIT SOCIAL ET RELATIONS DU TRAVAIL,208
2012-13,"INGENIEUR DIPLOME DE L'UNIVERSITE DE PAU, SPECIALITE BATIMENT ET TRAVAUX PUBLICS","",208
2012-13,DIPLOMES D'UNIVERSITE EN PLURI SCIENCES HUMAINES ET SOCIALES - BAC+2 A BAC+3,"",207
2012-13,"DROIT, SCIENCE POLITIQUE : ADMINISTRATION ECONOMIQUE ET SOCIALE","",207
2012-13,"ARTS, LETTRES, LANGUES : LITTERATURE, PHILOLOGIE, LINGUISTIQUE",LITTERATURES COMPAREES,207
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MANAGEMENT ET ADMINISTRATION DES ENTREPRISES,207
2012-13,"DROIT, ECONOMIE, GESTION : DROIT DE L'URBANISME ET DE L'IMMOBILIER","",207
2012-13,"ASSURANCE, BANQUE, FINANCE",CONSEILLER GESTIONNAIRE DE CLIENTELE SUR LE MARCHE DES PARTICULIERS,207
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DES ORGANISATIONS","",206
2012-13,"INGENIEUR DIPLOME DE L'UNIVERSITE DE TECHNOLOGIE DE TROYES, SPECIALITE INFORMATIQUE ET SYSTEMES D'INFORMATION","",206
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES","",206
2012-13,"SCIENCES HUMAINES ET SOCIALES : INFORMATION, COMMUNICATION, CULTURE ET DOCUMENTATION",METIERS DE LA COMMUNICATION,206
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA VIE","",205
2012-13,SPECIALITES CHIRURGICALES,"",205
2012-13,"ARTS, LETTRES, LANGUES : LETTRES  ET LANGUES","",205
2012-13,"DROIT, ECONOMIE, GESTION : DROIT NOTARIAL, IMMOBILIER ET DU PATRIMOINE","",204
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES JURIDIQUES - BAC+2 A BAC+5,"",204
2012-13,"SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT SCOLAIRE, DE LA FORMATION ET DE LA CULTURE",MEDIATION DES SAVOIRS EN MILIEU EDUCATIF,204
2012-13,"ECONOMIE, GESTION : AES-ADMINISTRATION ET GESTION DES ENTREPRISES","",204
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : STAPS,EDUCATION ET MOTRICITE,204
2012-13,"DROIT, ECONOMIE, GESTION : DROIT-LEA","",204
2012-13,"INGENIEUR DIPLOME DE L'ENS D'ELECTROTECHNIQUE, D'ELECTRONIQUE, D'INFORMATIQUE, D'HYDRAULIQUE ET DES TELECOMMUNICATIONS DE L'INP DE TOULOUSE, SPECIALITE GENIE ELECTRIQUE ET AUTOMATIQUE","",203
2012-13,"ARTS, LETTRES, LANGUES : ETUDES ANGLOPHONES","",203
2012-13,CARRIERES SOCIALES,SERVICES A LA PERSONNE,202
2012-13,"DROIT, SCIENCES POLITIQUE ET SOCIALES : SCIENCE POLITIQUE","",202
2012-13,SCIENCES HUMAINES ET SOCIALES : LETTRES ET SCIENCES HUMAINES,"",202
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE, BIOLOGIE (ANNEE COMMUNE)","",200
2012-13,"DROIT, ECONOMIE, GESTION : MANAGEMENT ET DEVELOPPEMENT DU TOURISME, DE L'HOTELLERIE, DE LA RESTAURATION ET DES LOISIRS","MANAGEMENT DES ORGANISATIONS DU TOURISME, DE L'HOTELLERIE, DE LA RESTAURATION ET DES LOISIRS",199
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNOLOGIES DE L'INFORMATION ET DE LA COMMUNICATION","",199
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE DE LA FIRME ET DES MARCHES","",199
2012-13,SCIENCES POLITIQUES ET SOCIALES : SCIENCE POLITIQUE,"",199
2012-13,"INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'INGENIEURS DE CAEN, SPECIALITE ELECTRONIQUE ET PHYSIQUE APPLIQUEE","",198
2012-13,MATHEMATIQUES APPLIQUEES ET SCIENCES SOCIALES,"",197
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE DE CERAMIQUE INDUSTRIELLE,"",197
2012-13,DIPLOMES D'UNIVERSITE EN PLURI SCIENCES ECONOMIQUES ET GESTION - BAC+2 A BAC+5,"",197
2012-13,"ASSURANCE, BANQUE, FINANCE",BANCASSURANCE,197
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE CELLULAIRE, PHYSIOLOGIE ET PATHOLOGIES","",197
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SANTE","PHYSIOPATHOLOGIE HUMAINE, EXPLORATIONS FONCTIONNELLES ET IMAGERIES",196
2012-13,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,GUIDE CONFERENCIER,196
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE ET HISTOIRE DE L'ART,"",195
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",CHINOIS,195
2012-13,"INGENIEUR DIPLOME DE L'ENS D'ELECTROTECHNIQUE, D'ELECTRONIQUE, D'INFORMATIQUE, D'HYDRAULIQUE ET DES TELECOMMUNICATIONS DE L'INP DE TOULOUSE, SPECIALITE TELECOMMUNICATIONS ET RESEAUX","",195
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES POUR L'INGENIEUR ET CHIMIE (ANNEE COMMUNE)","",194
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES INFORMATIQUE APPLIQUEES ET SCIENCES HUMAINES ET SOCIALES","",194
2012-13,"ARTS, LETTRES, LANGUES : METIERS DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA FORMATION",ENSEIGNEMENT PRIMAIRE,194
2012-13,SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION,INGENIERIE DES MEDIAS,194
2012-13,INGENIEUR DIPLOME DE L'INSTITUT SUPERIEUR D'ETUDES LOGISTIQUES DE L'UNIVERSITE DU HAVRE,"",194
2012-13,"INGENIEUR DIPLOME DE L'ECOLE D'INGENIEURS DE L'UNIVERSITE DE CAEN, SPECIALITE GENIE DES SYSTEMES INDUSTRIELS","",193
2012-13,"SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE, AMENAGEMENT, ENVIRONNEMENT","",193
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DU MANAGEMENT",METIERS DE L'ENTREPRENEURIAT ET DU MANAGEMENT,193
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT DE L'ENTREPRISE,193
2012-13,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE,"",137
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES ET INFORMATIQUE (ANNEE COMMUNE)","",192
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE,192
2012-13,"ARTS, LETTRES, LANGUES : LETTRES MODERNES APPLIQUEES","",191
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE GESTION ADMINISTRATION",METIERS DU MANAGEMENT,191
2012-13,COMMERCE,MANAGEMENT ET MARKETING DES RESEAUX DE DISTRIBUTION,190
2012-13,ALLERGOLOGIE,"",190
2012-13,DIPLOMES D'UNIVERSITE EN PSYCHOLOGIE - BAC+4 A BAC+5,"",190
2012-13,"ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT","",190
2012-13,HOTELLERIE ET TOURISME,"INGENIERIE, CONCEPTION, ORGANISATION ET GESTION DES SYSTEMES DE RESTAURATION COLLECTIVE",188
2012-13,DIPLOMES D'UNIVERSITE EN ODONTOLOGIE - BAC+4 A BAC+5,"",188
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES ECONOMIQUES - BAC+2 A BAC+3,"",188
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : METIERS DE L'EDUCATION, DE LA FORMATION ET DE L'ENSEIGNEMENT",PROFESSEUR DES ECOLES ET ENSEIGNEMENT PLURIDISCIPLINAIRE,188
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURES ETRANGERES",ARABE,188
2012-13,"ARTS, LETTRES, LANGUES : LETTRES",LITTERATURE GENERALE ET COMPAREE,188
2012-13,SCIENCES ET TECHNOLOGIES : SCIENCES DE L'ENVIRONNEMENT TERRESTRE,"",188
2012-13,"DROIT, ECONOMIE, GESTION : INGENIERIE ET MANAGEMENT",ADMINISTRATION DES ENTREPRISES,187
2012-13,DIPLOMES D'UNIVERSITE EN PHARMACIE - BAC A BAC+1,"",187
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU TERRITOIRE,"",187
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET HISTOIRE,"",187
2012-13,CHIRURGIE UROLOGIQUE,"",187
2012-13,ECONOMIE-GESTION : GOUVERNANCE ECONOMIQUE INTERNATIONALE,"",187
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE LILLE DE L'UNIVERSITE DE LILLE, SPECIALITE GENIE CIVIL","",187
2012-13,"INGENIEUR DIPLOME DE L'ECOLE D'INGENIEURS LITTORAL-COTE D'OPALE DE L'UNIVERSITE DU LITTORAL, SPECIALITE GENIE INDUSTRIEL","",186
2012-13,"PRE-ORIENTATION INGENIERIE DES MATERIAUX, COMPOSANTS ET SYSTEMES","",186
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE, SPECIALITE GENIE MECANIQUE","",186
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PATRIMONIAL, IMMOBILIER ET NOTARIAL","",186
2012-13,DIPLOMES D'UNIVERSITE EN ARTS - BAC+3 A BAC+4,"",185
2012-13,SCIENCES HUMAINES ET SOCIALES : ETUDES EUROPEENNES ET INTERNATIONALES,TOURISME ET HOTELLERIE,185
2012-13,"INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON, SPECIALITE BIOSCIENCES","",185
2012-13,"DROIT, ECONOMIE, GESTION : GESTION DES ENTREPRISES ET DES ORGANISATIONS",MANAGEMENT DES ORGANISATIONS SANITAIRES ET SOCIALES,185
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET FINANCE INTERNATIONALES","BANQUE, FINANCE, GESTION DES RISQUES",184
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES NATURELLES","",184
2012-13,DIPLOMES INTERNATIONAUX EN MEDECINE - BAC+2 A BAC+3,"",184
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : METIERS DE L'EDUCATION, DE L'ENSEIGNEMENT ET DE LA FORMATION",ENSEIGNEMENT PRIMAIRE,184
2012-13,"DROIT, ECONOMIE, GESTION : ANALYSE ET POLITIQUE ECONOMIQUE","",183
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"PSYCHOLOGIE SOCIALE, DU TRAVAIL ET RESSOURCES HUMAINES",183
2012-13,"ARTS, LETTRES, LANGUES ET SCIENCES HUMAINES ET SOCIALES : HUMANITES CONTEMPORAINES","",183
2012-13,MASTERES SPECIALISES EN SCIENCES DE GESTION - BAC+5 A BAC+6 ET PLUS,"",183
2012-13,"DROIT, ECONOMIE, GESTION-ARTS, LETTRES, LANGUES : DROIT - ANGLAIS","",182
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE L'UNIVERSITE DE NANTES, SPECIALITE INFORMATIQUE","",182
2012-13,PSYCHIATRIE DE L'ENFANT ET DE L'ADOLESCENT,"",182
2012-13,ACTIVITES SPORTIVES,"GESTION ET DEVELOPPEMENT DES ORGANISATIONS, DES SERVICES SPORTIFS ET DE LOISIRS",182
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ET INTERCULTURALITE","",182
2012-13,"ARTS, LETTRES, LANGUES-DROIT, ECONOMIE, GESTION : ANGLAIS - DROIT",ANGLAIS,182
2012-13,"ARTS, LETTRES, LANGUES : LINGUISTIQUE",DIFFUSION DU FRANCAIS,181
2012-13,DIPLOMES D'UNIVERSITE EN SCIENCES DE L'INFORMATION ET LA COMMUNICATION - BAC+3 A BAC+4,"",181
2012-13,"INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE UNIVERSITAIRE DE L'UNIVERSITE D'AIX-MARSEILLE, SPECIALITE GENIE CIVIL","",181
2012-13,"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE","DIDACTIQUE DU FLE/FLS:APPROPRIATION, APPRENTISSAGE ET DISPOSITIFS D'ENSEIGNEMENT",181
2012-13,"ARTS, LETTRES, LANGUES : LITTERATURE, PHILOLOGIE, LINGUISTIQUE",LANGUE FRANCAISE APPLIQUEE,180
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES","",180
2012-13,SCIENCES HUMAINES ET SOCIALES : ECHANGES INTERNATIONAUX,"",180
2012-13,RESEAUX ET TELECOMMUNICATIONS,RESEAUX SANS FIL ET SECURITE,180
