annee_universitaire,departement,degre_etudes,total_inscrits
2012-13,Morbihan,BAC + 3,2416
2012-13,Finist?re,BAC + 4,2403
2012-13,Sarthe,BAC + 3,2334
2012-13,Finist?re,BAC + 6 et plus,2316
2012-13,Marne,BAC + 6 et plus,2315
2012-13,Paris,Inf?rieur ou ?gal au baccalaur?at,2280
2012-13,Pyr?n?es-Atlantiques,BAC + 2,2279
2012-13,Morbihan,BAC + 1,2250
2012-13,Finist?re,BAC + 5,2242
2012-13,Val-de-Marne,BAC + 6 et plus,2217
2012-13,Maine-et-Loire,BAC + 6 et plus,2206
2012-13,Yvelines,BAC + 6 et plus,2195
2012-13,Haut-Rhin,BAC + 1,2186
2012-13,Charente-Maritime,BAC + 1,2147
2012-13,Marne,BAC + 5,2095
2012-13,Guadeloupe,BAC + 2,2094
2012-13,Pyr?n?es-Atlantiques,BAC + 3,2080
2012-13,Pas-de-Calais,BAC + 3,1986
2012-13,Loire,BAC + 5,1976
2012-13,Pas-de-Calais,BAC + 5,1932
2012-13,La R?union,BAC + 2,1903
2012-13,Haut-Rhin,BAC + 3,1881
2012-13,Haute-Vienne,BAC + 6 et plus,1873
2012-13,Pas-de-Calais,BAC + 2,1868
2012-13,Guadeloupe,BAC + 3,1827
2012-13,Gard,BAC + 1,1807
2012-13,Hauts-de-Seine,BAC + 6 et plus,1791
2012-13,Seine-et-Marne,BAC + 2,1787
2012-13,Loire,BAC + 4,1784
2012-13,Sarthe,BAC + 2,1783
2012-13,Seine-et-Marne,BAC + 5,1771
2012-13,Loiret,BAC + 4,1751
2012-13,Morbihan,BAC + 2,1697
2012-13,Pyr?n?es-Orientales,BAC + 3,1680
2012-13,Var,BAC + 3,1677
2012-13,La R?union,BAC + 3,1671
2012-13,Var,BAC + 2,1659
2012-13,Pas-de-Calais,BAC + 4,1652
2012-13,Savoie,BAC + 4,1650
2012-13,Haute-Vienne,BAC + 5,1630
2012-13,Gironde,Inf?rieur ou ?gal au baccalaur?at,1614
2012-13,Loiret,BAC + 5,1596
2012-13,Haute-Vienne,BAC + 4,1575
2012-13,Savoie,BAC + 5,1528
2012-13,Charente-Maritime,BAC + 3,1523
2012-13,Loire,BAC + 6 et plus,1518
2012-13,Charente-Maritime,BAC + 2,1485
2012-13,Sarthe,BAC + 4,1480
2012-13,Guadeloupe,BAC + 5,1460
2012-13,Seine-et-Marne,BAC + 4,1446
2012-13,Polyn?sie Fran?aise,BAC + 1,1431
2012-13,Pyr?n?es-Atlantiques,BAC + 5,1430
2012-13,Seine-et-Marne,BAC + 6 et plus,1416
2012-13,Haut-Rhin,BAC + 2,1402
2012-13,Pyr?n?es-Orientales,BAC + 2,1364
2012-13,Nouvelle-Cal?donie,BAC + 1,1352
2012-13,Guadeloupe,BAC + 4,1350
2012-13,Tarn,BAC + 1,1343
2012-13,Pyr?n?es-Atlantiques,BAC + 4,1326
2012-13,Vaucluse,BAC + 3,1245
2012-13,Haute-Corse,BAC + 1,1243
2012-13,Somme,BAC + 5,1226
2012-13,Vaucluse,BAC + 2,1210
2012-13,Nord,Inf?rieur ou ?gal au baccalaur?at,1202
